string, subtlex_uk.zipf, subtlex_uk.DomPoS
0, , 
0, , 
accoutrements,2.41,noun
accra,2.41,name
accreditation,2.64,noun
accreditations,1.54,noun
accredited,2.82,verb
accredits,1.3,verb
accrete,1.17,verb
accreted,1.47,verb
accretion,1.47,noun
accretions,1.3,noun
accrington,3.38,name
accross,1.3,verb
accrual,1.77,noun
accrue,2.45,verb
accrued,2.67,verb
accrues,1.77,verb
accruing,2.02,verb
acct,1.84,name
accu,2,noun
acculturated,1.17,verb
accumulate,3.04,verb
accumulated,3.21,verb
accumulates,2.31,verb
accumulating,2.72,verb
accumulation,2.88,noun
accumulations,2.16,noun
accumulative,1.81,adjective
accumulatively,1.17,adverb
accumulator,2.21,noun
accumulators,1.39,noun
accur,1.17,noun
accuracy,3.64,noun
accuracyy,1.17,noun
accurate,4.16,adjective
accurately,3.48,adverb
accursed,2.02,verb
accusation,3.46,noun
accusations,3.62,noun
accusative,1.6,noun
accusatory,1.54,adjective
accuse,3.58,verb
accused,4.47,verb
accuser,2.17,noun
accusers,2.09,noun
accuses,3.07,verb
accusing,3.6,verb
accusingly,1.47,adverb
accustom,1.74,verb
accustomed,3.29,verb
accy,1.3,name
acdc,1.7,name
ace,3.79,noun
aced,2.39,verb
acedemia,1.65,noun
aceh,2.29,name
aceing,1.39,verb
acer,2.52,name
acerbic,2.17,adjective
acerola,1.39,noun
acers,2.02,noun
aces,3.07,verb
acetate,2.51,noun
acetates,1.39,noun
acetic,2.3,adjective
